32,0,15420800,Strassen
32,0,21068500,Strassen
32,0,19680500,Strassen
32,0,17613100,Strassen
32,0,22218400,Strassen
32,0,20670200,Strassen
32,0,17765200,Strassen
32,0,30418600,Strassen
32,0,11331300,Strassen
32,0,14286600,Strassen
64,0,116516000,Strassen
64,0,82003700,Strassen
64,0,79769400,Strassen
64,0,79461500,Strassen
64,0,80719400,Strassen
64,0,80946700,Strassen
64,0,81976100,Strassen
64,0,80457800,Strassen
64,0,80958400,Strassen
64,0,84008700,Strassen
128,0,205349700,Strassen
128,0,187950500,Strassen
128,0,225928600,Strassen
128,0,183213100,Strassen
128,0,162327200,Strassen
128,0,168244900,Strassen
128,0,170576300,Strassen
128,0,189714000,Strassen
128,0,174393300,Strassen
128,0,191206900,Strassen
256,1,342389500,Strassen
256,1,112605000,Strassen
256,1,126392000,Strassen
256,1,116867400,Strassen
256,1,101694000,Strassen
256,1,112108600,Strassen
256,1,105154500,Strassen
256,1,97421300,Strassen
256,1,108519000,Strassen
256,1,107772700,Strassen
512,8,388207600,Strassen
512,8,264745800,Strassen
512,8,108620600,Strassen
512,8,136459200,Strassen
512,8,71403600,Strassen
512,8,42320300,Strassen
512,8,176456900,Strassen
512,8,332314000,Strassen
512,8,251240800,Strassen
512,8,285237600,Strassen
1024,55,288167800,Strassen
1024,55,744591800,Strassen
1024,57,347122100,Strassen
1024,55,642921700,Strassen
1024,56,764734300,Strassen
1024,56,542212500,Strassen
1024,55,333377400,Strassen
1024,55,530008300,Strassen
1024,57,609793400,Strassen
1024,57,141194500,Strassen
2048,390,643662000,Strassen
2048,390,386339200,Strassen
2048,409,368337900,Strassen
